date,alpha,actual_mean,p10_mean,p50_mean,p90_mean,interval_width,charge_mwh,discharge_mwh,net,pf_net,ratio
2026-01-27,0.0,471.7,622.78,711.1,796.14,173.36,1160.06,1055.65,243019.0,475018.0,0.5115995604377097
2026-01-28,0.0,750.33,351.23,430.59,502.68,151.45,1200.0,390.0,-463100.0,598879.0,-0.7732780745359246
2026-01-29,0.0,751.84,445.46,550.54,655.43,209.97,1200.0,1287.0,392910.0,666540.0,0.5894770006301198
2026-01-30,0.0,416.66,368.73,471.5,574.98,206.26,984.88,1403.24,295387.0,57067.0,5.176143830935567
2026-01-31,0.0,181.89,132.94,202.38,298.97,166.03,1196.13,746.04,140248.0,496746.0,0.2823334259359914
2026-02-01,0.0,169.92,63.51,119.75,211.78,148.28,1015.89,1266.9,432271.0,402819.0,1.0731147239827317
2026-02-02,0.0,186.67,205.06,265.97,362.87,157.8,1052.91,958.15,124786.0,228478.0,0.546161993714931
2026-02-03,0.0,67.73,-3.73,37.09,119.75,123.48,1200.0,585.0,9204.0,300875.0,0.030590776900706274
2026-02-04,0.0,25.46,21.23,59.68,140.85,119.61,1128.99,771.23,128287.0,163337.0,0.785412980524927
2026-02-05,0.0,348.31,285.9,320.56,392.71,106.81,838.63,1526.3,734812.0,647996.0,1.1339761356551583
2026-02-06,0.0,304.23,261.1,327.92,427.92,166.82,833.04,758.06,-32689.0,124580.0,-0.26239364263926795
2026-02-07,0.0,83.54,34.92,72.09,158.83,123.91,1069.16,972.94,268723.0,376042.0,0.71460900644077
2026-02-08,0.0,71.13,47.0,103.92,195.59,148.59,1153.81,828.15,95251.0,133576.0,0.7130846858717135
2026-02-09,0.0,-8.61,-37.78,-10.87,72.05,109.83,1200.0,550.66,38324.0,185945.0,0.2061039554707037
2026-02-10,0.0,178.38,138.62,159.73,255.81,117.19,984.88,1659.39,438953.0,550067.0,0.7979991528304734
2026-02-11,0.0,23.69,19.05,64.54,163.59,144.54,1114.7,1014.38,89427.0,238868.0,0.3743783177319691
2026-02-12,0.0,107.33,80.72,123.11,222.08,141.36,999.34,909.4,-14125.0,275406.0,-0.051287916748364235
2026-02-13,0.0,10.83,-5.98,34.06,131.52,137.5,1118.09,1017.46,73426.0,193813.0,0.37884971596332545
2026-02-14,0.0,-42.23,-3.53,20.89,109.3,112.83,1200.0,328.85,51809.0,70252.0,0.7374736662301429
2026-02-15,0.0,158.85,220.65,233.38,299.78,79.14,838.63,1526.3,475606.0,539198.0,0.8820618770841138
2026-02-16,0.0,195.21,218.99,273.13,370.74,151.74,838.63,763.15,241516.0,282953.0,0.8535551840765074
2026-02-17,0.0,-8.96,46.26,88.11,163.68,117.42,1200.0,793.92,19559.0,50689.0,0.38586281047169996
2026-02-18,0.0,-45.33,48.01,58.19,128.33,80.32,1200.0,1184.84,23218.0,27996.0,0.8293327618231175
2026-02-19,0.0,-50.05,-23.45,-16.67,36.86,60.31,1200.0,534.09,33834.0,6306.0,5.365366317792579
2026-02-20,0.0,-50.0,-10.63,-6.43,18.61,29.24,1199.16,1854.39,-32110.0,6051.0,-5.306560899024954
2026-02-21,0.0,21.31,-7.56,-3.98,24.45,32.01,1200.0,670.1,125955.0,211792.0,0.5947108483795422
