date,alpha,actual_mean,p10_mean,p50_mean,p90_mean,interval_width,charge_mwh,discharge_mwh,net,pf_net,ratio
2026-01-27,0.7,471.7,622.78,711.1,796.14,173.36,838.63,763.15,246501.0,475018.0,0.5189298089756599
2026-01-28,0.7,750.33,351.23,430.59,502.68,151.45,1200.0,328.85,-504944.0,598879.0,-0.8431486159975554
2026-01-29,0.7,751.84,445.46,550.54,655.43,209.97,339.94,1072.5,866746.0,666540.0,1.300366069553215
2026-01-30,0.7,416.66,368.73,471.5,574.98,206.26,375.0,341.25,69921.0,57067.0,1.2252440114251668
2026-01-31,0.7,181.89,132.94,202.38,298.97,166.03,780.0,390.0,135105.0,496746.0,0.27198004614028093
2026-02-01,0.7,169.92,63.51,119.75,211.78,148.28,838.63,1082.95,430391.0,402819.0,1.0684476154302553
2026-02-02,0.7,186.67,205.06,265.97,362.87,157.8,838.63,763.15,139850.0,228478.0,0.6120939433993645
2026-02-03,0.7,67.73,-3.73,37.09,119.75,123.48,910.06,455.0,42264.0,300875.0,0.14047029497299543
2026-02-04,0.7,25.46,21.23,59.68,140.85,119.61,838.63,373.15,124090.0,163337.0,0.7597176389917777
2026-02-05,0.7,348.31,285.9,320.56,392.71,106.81,838.63,1526.3,734707.0,647996.0,1.1338140976178865
2026-02-06,0.7,304.23,261.1,327.92,427.92,166.82,0.0,0.0,-3964.0,124580.0,-0.031818911542783754
2026-02-07,0.7,83.54,34.92,72.09,158.83,123.91,838.63,763.15,270338.0,376042.0,0.7189037394759096
2026-02-08,0.7,71.13,47.0,103.92,195.59,148.59,589.29,536.25,76217.0,133576.0,0.5705890279690963
2026-02-09,0.7,-8.61,-37.78,-10.87,72.05,109.83,838.63,0.0,-2729.0,185945.0,-0.014676382801365996
2026-02-10,0.7,178.38,138.62,159.73,255.81,117.19,838.63,1526.3,454317.0,550067.0,0.8259302957639706
2026-02-11,0.7,23.69,19.05,64.54,163.59,144.54,838.63,763.15,99210.0,238868.0,0.41533399199557913
2026-02-12,0.7,107.33,80.72,123.11,222.08,141.36,838.63,763.15,59323.0,275406.0,0.21540198833721852
2026-02-13,0.7,10.83,-5.98,34.06,131.52,137.5,838.63,763.15,73370.0,193813.0,0.3785607776568135
2026-02-14,0.7,-42.23,-3.53,20.89,109.3,112.83,1052.91,195.0,43347.0,70252.0,0.6170215794568126
2026-02-15,0.7,158.85,220.65,233.38,299.78,79.14,838.63,1526.3,475606.0,539198.0,0.8820618770841138
2026-02-16,0.7,195.21,218.99,273.13,370.74,151.74,838.63,763.15,236971.0,282953.0,0.8374924457418723
2026-02-17,0.7,-8.96,46.26,88.11,163.68,117.42,838.63,536.25,15236.0,50689.0,0.30057803468208094
2026-02-18,0.7,-45.33,48.01,58.19,128.33,80.32,872.14,1020.55,15045.0,27996.0,0.5373981997428204
2026-02-19,0.7,-50.05,-23.45,-16.67,36.86,60.31,838.63,97.5,37703.0,6306.0,5.978908975578814
2026-02-20,0.7,-50.0,-10.63,-6.43,18.61,29.24,838.63,1428.8,-28857.0,6051.0,-4.768963807635101
2026-02-21,0.7,21.31,-7.56,-3.98,24.45,32.01,838.63,341.25,139154.0,211792.0,0.6570314270605122
2026-02-22,0.7,15.12,121.42,161.91,253.05,131.63,838.63,1185.05,143614.0,216056.0,0.664707298107898
2026-02-23,0.7,106.77,105.66,130.99,205.38,99.71,838.63,763.15,241814.0,347143.0,0.6965832524348755
2026-02-24,0.7,28.69,73.45,105.24,170.01,96.56,984.88,133.09,31236.0,74406.0,0.419804854447222
2026-02-25,0.7,66.02,90.43,97.34,144.44,54.01,696.43,1396.9,255843.0,271393.0,0.9427030173954376
2026-02-26,0.7,236.91,279.39,320.77,394.19,114.81,521.25,474.34,-59636.0,97133.0,-0.6139622991156456
2026-02-27,0.7,227.56,171.05,203.4,303.45,132.4,838.63,763.15,-237153.0,375163.0,-0.6321332327548292
2026-02-28,0.7,217.54,124.63,166.87,262.5,137.87,1200.0,1092.0,2280.0,440326.0,0.005177981768053669
2026-03-01,0.7,411.2,238.93,315.52,377.23,138.3,360.54,328.09,-6741.0,21669.0,-0.31108957496884954
2026-03-02,0.7,19.94,-52.02,20.71,98.87,150.89,1033.63,177.45,84090.0,265495.0,0.316729128608825
2026-03-03,0.7,146.31,102.9,129.4,223.84,120.94,838.63,1526.3,446553.0,401710.0,1.111630280550646
2026-03-04,0.7,327.65,217.73,270.37,354.25,136.52,677.14,438.75,-79796.0,164946.0,-0.4837704460853855
2026-03-05,0.7,111.8,163.06,212.81,309.43,146.36,838.63,518.7,195493.0,323021.0,0.6052021385606509
2026-03-06,0.7,367.51,331.42,368.54,455.97,124.55,657.09,1019.85,197469.0,207048.0,0.9537353657122986
2026-03-07,0.7,62.98,32.37,99.53,183.55,151.18,838.63,390.0,126451.0,226298.0,0.5587808995218694
2026-03-08,0.7,181.48,171.46,208.6,297.92,126.46,838.63,1136.3,381274.0,287107.0,1.3279857335418503
2026-03-09,0.7,80.91,97.3,137.08,207.85,110.55,1200.0,328.85,49783.0,101417.0,0.49087431101294654
2026-03-10,0.7,149.94,233.34,250.05,320.94,87.6,1023.75,1694.76,440882.0,523096.0,0.8428319084833377
2026-03-11,0.7,339.18,196.71,238.29,303.0,106.29,926.25,842.89,-104442.0,249197.0,-0.4191141947936773
2026-03-12,0.7,-12.03,-32.42,-11.24,75.02,107.44,838.63,0.0,41942.0,125605.0,0.33391982803232356
2026-03-13,0.7,210.82,116.49,143.19,242.24,125.75,107.14,97.5,-15799.0,490585.0,-0.03220440902188204
2026-03-14,0.7,373.89,502.25,571.18,654.43,152.19,838.63,1526.3,394395.0,-142890.0,-2.760130170060886
2026-03-15,0.7,322.58,261.54,335.35,402.16,140.63,838.63,763.15,-59899.0,456638.0,-0.13117392770641076
2026-03-16,0.7,41.61,71.41,133.9,211.21,139.8,838.63,763.15,73678.0,164508.0,0.44786879665426604
2026-03-17,0.7,196.14,45.52,52.7,122.76,77.24,1200.0,328.85,-35525.0,567396.0,-0.06261059295447977
2026-03-18,0.7,120.09,127.15,165.75,266.14,138.99,838.63,1201.9,339951.0,309720.0,1.0976075164664858
2026-03-19,0.7,180.32,237.38,270.47,361.37,123.99,838.63,1087.55,468868.0,449492.0,1.043106440159113
2026-03-20,0.7,122.4,84.18,148.16,229.3,145.12,579.64,527.48,80086.0,206542.0,0.38774680210320417
2026-03-21,0.7,-13.45,-57.09,-26.45,52.46,109.55,838.63,0.0,-27503.0,104658.0,-0.26278927554510884
2026-03-22,0.7,322.63,264.83,289.14,374.12,109.29,910.06,1591.3,432692.0,433793.0,0.9974619230831295
2026-03-23,0.7,74.19,90.3,159.89,250.58,160.27,838.63,763.15,64811.0,131273.0,0.4937115781615412
2026-03-24,0.7,62.7,42.19,71.48,154.61,112.42,838.63,763.15,233096.0,331329.0,0.7035182552689321
2026-03-25,0.7,189.55,171.58,217.7,310.24,138.66,838.63,763.15,335151.0,416792.0,0.8041205205474193
2026-03-26,0.7,389.23,207.58,261.29,342.49,134.9,984.88,133.09,-114076.0,461338.0,-0.24727206516697087
2026-03-27,0.7,450.4,468.3,533.6,638.29,170.0,838.63,1526.3,545171.0,339334.0,1.6065911461863533
2026-03-28,0.7,323.76,323.0,385.46,477.13,154.13,0.0,0.0,-4219.0,46602.0,-0.09053259516758938
2026-03-29,0.7,287.65,204.72,235.22,307.71,102.99,1052.91,958.15,-77809.0,226968.0,-0.3428192520531529
2026-03-30,0.7,393.88,208.67,266.62,335.91,127.24,838.63,763.15,-86868.0,277231.0,-0.31334158156916075
2026-03-31,0.7,90.76,129.29,189.22,278.23,148.95,838.63,763.15,265104.0,303016.0,0.8748844945481427
2026-04-01,0.7,311.49,129.99,179.01,257.2,127.2,1106.49,1006.9,220393.0,313165.0,0.7037599987227181
2026-04-02,0.7,40.93,34.68,83.29,165.45,130.77,984.88,133.09,39247.0,142623.0,0.2751800200528666
2026-04-03,0.7,76.77,68.06,99.96,190.69,122.63,0.0,763.15,347610.0,388270.0,0.8952790583872048
