alpha,n_days,n_loss_days,net_total,net_total_wan,pf_total_wan,realization_rate,avg_interval_width
0.0,81,14,10757019,1075.7,2264.07,0.4751,435.53
0.2,81,13,10089138,1008.91,2264.07,0.4456,435.53
0.5,81,26,7193071,719.31,2264.07,0.3177,435.53
0.8,81,52,2725769,272.58,2264.07,0.1204,435.53
