date,alpha,actual_mean,p10_mean,p50_mean,p90_mean,interval_width,charge_mwh,discharge_mwh,net,pf_net,ratio
2026-01-27,0.8,471.7,159.85,477.83,757.63,597.77,0.0,0.0,-6146.0,475018.0,-0.01293845706899528
2026-01-28,0.8,750.33,170.86,450.96,678.11,507.25,838.63,0.0,-471739.0,598879.0,-0.7877033591092691
2026-01-29,0.8,751.84,220.3,600.57,949.09,728.79,0.0,390.0,389044.0,666540.0,0.583676898610736
2026-01-30,0.8,416.66,218.37,591.94,939.0,720.63,0.0,373.15,327558.0,57067.0,5.7398846969351816
2026-01-31,0.8,181.89,126.69,363.78,678.41,551.72,0.0,0.0,-2370.0,496746.0,-0.004771049993356766
2026-02-01,0.8,169.92,19.63,229.26,537.22,517.59,0.0,0.0,-2214.0,402819.0,-0.0054962650719057446
2026-02-02,0.8,186.67,62.4,294.68,619.16,556.75,0.0,0.0,-2432.0,228478.0,-0.010644350878421555
2026-02-03,0.8,67.73,-103.13,35.17,330.65,433.77,341.25,0.0,-73590.0,300875.0,-0.24458662235147485
2026-02-04,0.8,25.46,-8.38,120.76,396.28,404.66,0.0,310.54,42007.0,163337.0,0.2571799408584705
2026-02-05,0.8,348.31,-27.1,108.64,371.51,398.61,838.63,0.0,10482.0,647996.0,0.016176025777936903
2026-02-06,0.8,304.23,66.13,318.28,657.1,590.97,0.0,763.15,372676.0,124580.0,2.9914593032589503
2026-02-07,0.8,83.54,-41.09,88.33,396.97,438.06,0.0,0.0,-1088.0,376042.0,-0.0028932938341993714
2026-02-08,0.8,71.13,28.11,196.02,495.12,467.01,0.0,0.0,-927.0,133576.0,-0.0069398694376235255
2026-02-09,0.8,-8.61,-68.91,15.99,287.19,356.1,0.0,0.0,112.0,185945.0,0.0006023286455672376
2026-02-10,0.8,178.38,-71.17,-10.59,289.71,360.88,536.25,0.0,-113493.0,550067.0,-0.2063257748601534
2026-02-11,0.8,23.69,-36.5,123.93,461.16,497.66,0.0,0.0,-309.0,238868.0,-0.0012936014870137482
2026-02-12,0.8,107.33,-8.94,145.07,479.31,488.25,0.0,487.99,122890.0,275406.0,0.44621395321815793
2026-02-13,0.8,10.83,-33.15,109.41,438.38,471.53,0.0,0.0,-141.0,193813.0,-0.0007275053788961524
2026-02-14,0.8,-42.23,-48.5,32.15,315.05,363.55,0.0,0.0,550.0,70252.0,0.00782895860616068
2026-02-15,0.8,158.85,-56.71,-16.08,194.43,251.14,838.63,0.0,-23188.0,539198.0,-0.04300461055122608
2026-02-16,0.8,195.21,17.03,208.57,543.89,526.86,0.0,763.15,256928.0,282953.0,0.9080235940244493
2026-02-17,0.8,-8.96,21.5,174.67,432.65,411.15,0.0,0.0,117.0,50689.0,0.002308193099094478
2026-02-18,0.8,-45.33,-59.59,-29.22,179.56,239.15,0.0,0.0,591.0,27996.0,0.02111015859408487
2026-02-19,0.8,-50.05,-56.79,-32.23,143.67,200.46,0.0,0.0,652.0,6306.0,0.10339359340310815
2026-02-20,0.8,-50.0,-59.81,-45.69,35.12,94.93,838.63,0.0,42583.0,6051.0,7.03734919847959
2026-02-21,0.8,21.31,-59.24,-47.62,38.04,97.28,-0.0,0.0,-278.0,211792.0,-0.0013126085971141498
2026-02-22,0.8,15.12,-28.02,120.96,450.98,479.0,0.0,763.15,-35917.0,216056.0,-0.16623930832747066
2026-02-23,0.8,106.77,-47.58,53.1,323.45,371.02,0.0,0.0,-1391.0,347143.0,-0.004006994235804842
2026-02-24,0.8,28.69,-42.14,66.95,299.16,341.3,0.0,0.0,-374.0,74406.0,-0.005026476359433379
2026-02-25,0.8,66.02,-57.14,-37.11,124.38,181.51,838.63,0.0,41071.0,271393.0,0.1513340432509313
2026-02-26,0.8,236.91,-18.33,133.9,408.97,427.31,0.0,763.15,310830.0,97133.0,3.200045298714134
2026-02-27,0.8,227.56,-51.91,59.86,393.08,445.0,0.0,0.0,-2965.0,375163.0,-0.007903231395420124
2026-02-28,0.8,217.54,-45.95,104.25,423.78,469.73,0.0,0.0,-2835.0,440326.0,-0.006438411540540418
2026-03-01,0.8,411.2,0.17,253.12,471.13,470.97,0.0,0.0,-5358.0,21669.0,-0.2472656790807144
2026-03-02,0.8,19.94,-22.0,220.93,481.57,503.57,0.0,0.0,-260.0,265495.0,-0.0009793028117290345
2026-03-03,0.8,146.31,-47.77,34.29,327.46,375.23,0.0,0.0,-1906.0,401710.0,-0.004744716337656519
2026-03-04,0.8,327.65,-14.39,173.12,450.81,465.2,0.0,0.0,-4269.0,164946.0,-0.025881197482812555
