strategy,total_days,net_total,pf_total,realization,reverse_days,reverse_net,reverse_pf,normal_net,normal_pf,typical_n,typical_net,typical_pf,normal_n,atypical_n,atypical_net,atypical_pf,reverse_n
v10_baseline,81,11482668.0,22640733.0,0.507168562077915,11,-441205.0,2234560.0,4825244.0,10773411.0,15,5509944.0,6192105.0,37,18,1588685.0,3440657.0,11
noop,81,12114020.0,22640733.0,0.5350542316805732,11,257237.0,2234560.0,4825244.0,10773411.0,15,5415233.0,6192105.0,37,18,1616306.0,3440657.0,11
mean_shape,81,10701561.0,22640733.0,0.4726684864840728,11,-1095593.0,2234560.0,4825244.0,10773411.0,15,5415233.0,6192105.0,37,18,1556677.0,3440657.0,11
v8_fallback,81,11490892.0,22640733.0,0.5075318012009593,11,173142.0,2234560.0,4585418.0,10773411.0,15,5529616.0,6192105.0,37,18,1202716.0,3440657.0,11
v8_baseline,81,11585078.0,22640733.0,0.5116918255252602,11,21080.0,2234560.0,5235845.0,10773411.0,15,5432684.0,6192105.0,37,18,895469.0,3440657.0,11
