fold,train_start,test_start,test_end,train_n,val_n,test_n,val_MAE,test_MAE,test_RMSE,test_dir_acc
1,2024-12-14,2025-12-28,2026-01-03,35040,1344,672,80.42,122.54,234.32,0.4554
2,2024-12-21,2026-01-04,2026-01-10,35040,1344,672,94.14,104.99,152.67,0.3408
3,2024-12-28,2026-01-11,2026-01-17,35040,1344,672,108.54,110.34,159.42,0.3914
4,2025-01-04,2026-01-18,2026-01-24,35040,1344,672,99.93,89.88,123.15,0.4196
5,2025-01-11,2026-01-25,2026-01-31,35040,1344,672,94.49,219.89,308.22,0.3497
6,2025-01-18,2026-02-01,2026-02-07,35040,1344,672,141.65,123.58,173.95,0.4196
7,2025-01-25,2026-02-08,2026-02-14,35040,1344,672,158.39,103.96,136.17,0.4077
8,2025-02-01,2026-02-15,2026-02-21,35040,1344,672,98.93,74.43,102.99,0.4866
9,2025-02-08,2026-02-22,2026-02-28,35040,1344,672,74.64,133.88,179.19,0.4598
10,2025-02-15,2026-03-01,2026-03-07,35040,1344,672,96.66,117.62,167.82,0.3973
11,2025-02-22,2026-03-08,2026-03-14,35040,1344,672,111.53,123.25,172.3,0.4792
12,2025-03-01,2026-03-15,2026-03-21,35040,1344,672,109.28,98.42,145.13,0.4807
13,2025-03-08,2026-03-22,2026-03-28,35040,1344,672,106.97,123.26,188.11,0.4628
14,2025-03-15,2026-03-29,2026-04-04,35040,1344,672,105.6,111.81,161.6,0.4851
15,2025-03-22,2026-04-05,2026-04-11,35040,1344,672,105.17,116.37,196.99,0.5074
16,2025-03-29,2026-04-12,2026-04-18,35040,1344,672,97.99,150.45,203.18,0.3899
