date,alpha,actual_mean,p10_mean,p50_mean,p90_mean,interval_width,charge_mwh,discharge_mwh,net,pf_net,ratio
2026-01-27,0.3,471.7,695.49,767.01,822.84,127.35,838.63,763.15,358499.0,475018.0,0.7547061374516334
2026-01-28,0.3,750.33,450.78,487.34,504.19,53.42,1200.0,390.0,-504207.0,598879.0,-0.8419179834323794
2026-01-29,0.3,751.84,499.55,544.78,568.7,69.15,1200.0,1234.35,148208.0,666540.0,0.22235424730698833
2026-01-30,0.3,416.66,461.78,494.17,515.97,54.19,925.71,1402.05,319208.0,57067.0,5.593565458145688
2026-01-31,0.3,181.89,223.46,243.13,272.08,48.62,838.63,763.15,235420.0,496746.0,0.4739242993401054
2026-02-01,0.3,169.92,50.54,67.38,86.56,36.02,838.63,763.15,305826.0,402819.0,0.7592144362604545
2026-02-02,0.3,186.67,250.18,273.23,298.48,48.31,1056.31,961.24,145862.0,228478.0,0.6384071989425678
2026-02-03,0.3,67.73,-22.69,-9.66,12.83,35.52,1200.0,438.75,17376.0,300875.0,0.05775155795596178
2026-02-04,0.3,25.46,56.19,72.35,89.59,33.4,1179.88,1305.04,218385.0,163337.0,1.3370210056508935
2026-02-05,0.3,348.31,281.26,299.71,315.92,34.66,857.14,1201.9,647385.0,647996.0,0.9990570929450182
2026-02-06,0.3,304.23,374.55,400.16,417.15,42.6,877.5,798.53,-8915.0,124580.0,-0.07156044308877829
2026-02-07,0.3,83.54,53.37,64.26,80.23,26.86,1200.0,1092.0,294446.0,376042.0,0.7830135995447317
2026-02-08,0.3,71.13,83.01,95.77,113.22,30.21,910.06,828.15,97992.0,133576.0,0.7336048391926694
2026-02-09,0.3,-8.61,-20.34,-0.88,13.06,33.4,1200.0,328.85,-13235.0,185945.0,-0.07117696092930706
2026-02-10,0.3,178.38,136.45,152.94,171.26,34.81,984.88,1659.39,437156.0,550067.0,0.7947322780679444
2026-02-11,0.3,23.69,32.68,47.32,62.66,29.98,999.34,909.4,144817.0,238868.0,0.6062637105011973
2026-02-12,0.3,107.33,125.06,134.52,153.16,28.1,1052.91,958.15,100209.0,275406.0,0.3638591751813686
2026-02-13,0.3,10.83,22.92,43.3,57.69,34.78,936.13,851.88,79505.0,193813.0,0.4102150010577206
2026-02-14,0.3,-42.23,17.78,31.56,50.78,33.0,1200.0,328.85,45947.0,70252.0,0.654031201958663
2026-02-15,0.3,158.85,187.16,205.42,222.42,35.27,838.63,1526.3,483709.0,539198.0,0.8970897518165869
2026-02-16,0.3,195.21,295.25,320.41,348.64,53.39,984.88,896.24,215820.0,282953.0,0.7627415153753451
2026-02-17,0.3,-8.96,74.85,90.02,107.01,32.16,838.63,763.15,3891.0,50689.0,0.07676221665450098
2026-02-18,0.3,-45.33,31.63,48.63,64.61,32.98,1200.0,1072.99,21539.0,27996.0,0.7693599085583654
2026-02-19,0.3,-50.05,-24.13,-13.1,-2.22,21.9,1200.0,1111.01,4848.0,6306.0,0.768791627021884
2026-02-20,0.3,-50.0,-23.04,-2.96,7.92,30.96,936.13,851.88,4864.0,6051.0,0.8038340770120641
2026-02-21,0.3,21.31,-23.31,-6.11,4.74,28.05,984.88,133.09,42312.0,211792.0,0.19978091712623705
2026-02-22,0.3,15.12,157.82,182.02,201.96,44.14,936.13,1615.03,124872.0,216056.0,0.5779612693005517
2026-02-23,0.3,106.77,103.35,113.63,124.32,20.98,1052.91,958.15,280153.0,347143.0,0.8070247707716993
2026-02-24,0.3,28.69,67.14,81.23,92.08,24.93,1200.0,328.85,57907.0,74406.0,0.7782571298013601
2026-02-25,0.3,66.02,81.52,101.42,118.15,36.64,828.75,1517.31,262776.0,271393.0,0.9682489968422178
2026-02-26,0.3,236.91,224.12,249.97,271.04,46.92,838.63,763.15,-48225.0,97133.0,-0.4964842020734457
2026-02-27,0.3,227.56,123.44,139.18,158.59,35.15,1200.0,682.5,-316269.0,375163.0,-0.843017568363618
2026-02-28,0.3,217.54,164.57,191.38,215.94,51.37,1184.88,1487.74,13034.0,440326.0,0.029600795774040144
2026-03-01,0.3,411.2,306.31,340.6,363.37,57.06,1003.39,913.09,-130988.0,21669.0,-6.044949005491716
2026-03-02,0.3,19.94,12.37,34.62,47.19,34.81,1200.0,328.85,22961.0,265495.0,0.08648373792350138
2026-03-03,0.3,146.31,135.14,152.33,168.12,32.98,838.63,1526.3,363198.0,401710.0,0.904129844912997
2026-03-04,0.3,327.65,283.89,294.39,303.9,20.01,355.71,323.7,-41984.0,164946.0,-0.25453178616031913
2026-03-05,0.3,111.8,217.49,231.73,247.47,29.98,838.63,763.15,270883.0,323021.0,0.8385925373272946
2026-03-06,0.3,367.51,270.24,291.8,307.34,37.1,1200.0,1092.0,-20373.0,207048.0,-0.0983974730497276
2026-03-07,0.3,62.98,66.69,77.44,99.72,33.02,1200.0,328.85,1236.0,226298.0,0.0054618246736603945
2026-03-08,0.3,181.48,226.11,252.65,271.19,45.08,838.63,1526.3,491991.0,287107.0,1.7136154813362265
2026-03-09,0.3,80.91,123.87,138.39,155.56,31.69,1200.0,328.85,56744.0,101417.0,0.5595117189425836
2026-03-10,0.3,149.94,254.44,295.02,337.93,83.5,838.63,1526.3,439305.0,523096.0,0.8398171654916115
2026-03-11,0.3,339.18,172.66,193.96,220.83,48.16,926.25,842.89,-94122.0,249197.0,-0.37770117617788335
2026-03-12,0.3,-12.03,-28.52,-14.36,1.8,30.32,1200.0,328.85,27540.0,125605.0,0.21925878746865174
2026-03-13,0.3,210.82,150.15,170.11,194.3,44.14,1013.57,922.35,-161099.0,490585.0,-0.32838142217964267
2026-03-14,0.3,373.89,556.91,630.21,680.78,123.87,838.63,1526.3,412933.0,-142890.0,-2.8898663307439287
2026-03-15,0.3,322.58,291.45,329.45,357.64,66.19,945.77,860.65,-48919.0,456638.0,-0.10712862267266413
2026-03-16,0.3,41.61,79.28,93.11,112.54,33.26,1200.0,914.55,84546.0,164508.0,0.5139324531329783
2026-03-17,0.3,196.14,18.35,32.78,56.43,38.08,1200.0,506.3,-19007.0,567396.0,-0.03349864997285846
2026-03-18,0.3,120.09,161.03,170.6,181.93,20.9,838.63,1526.3,408588.0,309720.0,1.3192173576133281
2026-03-19,0.3,180.32,221.07,257.11,282.39,61.32,838.63,763.15,352409.0,449492.0,0.7840161782634618
2026-03-20,0.3,122.4,145.43,165.04,189.02,43.6,1200.0,1006.9,109191.0,206542.0,0.528662451220575
2026-03-21,0.3,-13.45,-35.27,-21.91,-5.13,30.14,1200.0,413.95,29581.0,104658.0,0.2826444227866002
2026-03-22,0.3,322.63,182.44,205.53,223.99,41.56,838.63,1526.3,420330.0,433793.0,0.9689644600074229
2026-03-23,0.3,74.19,148.34,158.01,172.95,24.61,838.63,763.15,58159.0,131273.0,0.44303855324400293
2026-03-24,0.3,62.7,52.52,65.06,76.7,24.17,1052.91,958.15,223529.0,331329.0,0.6746436321601792
2026-03-25,0.3,189.55,233.91,242.67,260.62,26.71,1023.75,931.61,311248.0,416792.0,0.7467705714121192
2026-03-26,0.3,389.23,263.89,293.19,319.7,55.82,1131.13,266.18,-143108.0,461338.0,-0.3102020644299841
2026-03-27,0.3,450.4,531.41,602.02,634.74,103.34,838.63,1526.3,548030.0,339334.0,1.6150164734450423
2026-03-28,0.3,323.76,347.41,379.84,398.8,51.39,1192.68,774.8,-84434.0,46602.0,-1.8118106519033519
2026-03-29,0.3,287.65,253.06,270.37,293.35,40.29,1200.0,1402.54,5632.0,226968.0,0.024814070706002608
2026-03-30,0.3,393.88,242.64,257.47,274.45,31.81,838.63,763.15,-117625.0,277231.0,-0.42428516291468127
2026-03-31,0.3,90.76,137.95,162.99,183.74,45.79,910.06,828.15,258893.0,303016.0,0.854387227077118
2026-04-01,0.3,311.49,185.98,204.13,225.06,39.07,838.63,763.15,239860.0,313165.0,0.7659221177334632
2026-04-02,0.3,40.93,51.37,67.6,84.5,33.13,1200.0,328.85,67612.0,142623.0,0.47406098595598184
2026-04-03,0.3,76.77,129.35,155.41,183.68,54.33,964.29,1640.65,351765.0,388270.0,0.9059803744816751
2026-04-04,0.3,12.26,25.1,46.49,59.3,34.2,981.49,893.15,140786.0,184104.0,0.7647090774779473
2026-04-05,0.3,71.19,92.39,105.62,117.85,25.46,1017.2,925.65,241505.0,366455.0,0.6590304402996275
2026-04-06,0.3,144.06,151.39,165.27,179.71,28.32,838.63,763.15,215290.0,325634.0,0.6611410356412414
2026-04-07,0.3,180.2,96.85,108.27,128.5,31.65,1200.0,585.0,33032.0,222430.0,0.14850514768691273
2026-04-08,0.3,39.25,77.01,95.35,122.98,45.97,1131.13,1536.33,104461.0,193140.0,0.5408563736149943
2026-04-09,0.3,151.64,87.01,98.32,120.7,33.69,1153.81,1049.96,135623.0,360684.0,0.37601612491821096
2026-04-10,0.3,185.0,53.07,72.87,88.87,35.8,910.06,828.15,441918.0,656345.0,0.6733013887513427
2026-04-11,0.3,125.69,20.9,37.76,49.99,29.09,1200.0,328.85,10533.0,162819.0,0.06469146721205755
2026-04-12,0.3,109.56,107.99,129.08,149.81,41.82,871.13,1555.88,206085.0,363781.0,0.5665084212754377
2026-04-13,0.3,179.02,113.38,125.49,145.14,31.76,1082.38,984.96,163818.0,255649.0,0.6407926492964964
2026-04-14,0.3,270.87,111.51,128.31,144.54,33.03,936.13,851.88,139879.0,315924.0,0.44276155024626174
2026-04-15,0.3,26.18,29.31,45.22,61.12,31.81,1124.34,260.0,-20059.0,189631.0,-0.10577911839308973
2026-04-16,0.3,161.68,129.53,150.44,174.15,44.62,1121.25,1783.49,313920.0,250819.0,1.2515798244949545
2026-04-17,0.3,34.82,38.9,56.89,80.04,41.14,1200.0,1092.0,146876.0,345417.0,0.4252135824235634
