date,week,charge_mwh,discharge_mwh,gross_yuan,aux_cost_yuan,net_yuan,avg_charge_price,avg_discharge_price,opt_charge_4h_cont_price,opt_discharge_4h_cont_price,opt_charge_nc_price,opt_discharge_nc_price,chg_slots,dis_slots,m11_unit_power_rev_yuan_mw,m12_energy_rev_yuan_mwh,m13_net_energy_rev_yuan_mwh,m21_spread_utilization_pct,m22_discharge_capture_pct,m23_charge_capture_pct,m24_avg_spread_yuan_mwh,m25_rte_breakeven_yuan_mwh,m26_top_dis_capture_pct,m27_bot_chg_capture_pct
2026-02-22,2026-W08,845.0,1532.1,138411.0,197.0,138214.0,-50.0,62.76,-50.0,212.39,-50.0,110.31,20,39,709.8,58.23,58.14,43.0,74.0,0.0,112.76,5.65,29.3,30.8
2026-02-23,2026-W09,999.34,909.4,253679.0,1391.0,252287.0,-35.04,240.45,-50.0,313.12,-50.0,305.22,28,23,1300.92,132.9,132.17,75.9,75.0,41.7,275.49,21.64,34.0,26.8
2026-02-24,2026-W09,1200.0,328.85,58281.0,374.0,57907.0,-50.0,-5.23,-51.0,255.0,-50.69,287.5,29,9,298.88,38.12,37.88,14.6,72.9,5.2,44.77,-0.47,0.0,37.4
2026-02-25,2026-W09,1200.0,1433.25,117693.0,860.0,116833.0,13.75,93.63,-50.0,308.12,-50.0,235.59,31,39,603.55,44.69,44.37,22.3,66.7,66.7,79.88,8.43,30.6,0.0
2026-02-26,2026-W09,838.63,1185.05,67468.0,3087.0,64381.0,175.72,181.28,12.69,415.55,9.92,425.37,22,30,345.99,33.34,31.81,1.4,33.3,31.2,5.57,16.32,14.6,23.3
2026-02-27,2026-W09,1200.0,1092.0,109596.0,2965.0,106631.0,167.75,284.7,61.8,406.18,61.22,451.96,33,29,562.03,47.82,46.52,34.0,75.0,36.5,116.95,25.62,14.9,32.1
2026-02-28,2026-W09,1200.0,1092.0,123896.0,2835.0,121061.0,137.6,264.67,66.99,395.71,80.27,385.06,31,28,635.36,54.06,52.82,38.7,78.1,18.8,127.07,23.82,20.8,32.5
2026-03-01,2026-W09,1200.0,1092.0,-297545.0,5358.0,-302903.0,526.84,306.47,251.75,748.59,252.81,660.83,34,32,-1525.87,-129.82,-132.16,-44.4,44.8,78.1,-220.37,27.58,0.0,8.1
2026-03-02,2026-W10,1200.0,328.85,36702.0,260.0,36442.0,-28.95,5.97,-50.81,195.42,-50.65,240.1,33,13,188.22,24.01,23.84,14.2,68.8,66.7,34.92,0.54,0.0,24.4
2026-03-03,2026-W10,838.63,1526.3,414232.0,1906.0,412326.0,-50.0,243.92,-50.0,338.99,-50.18,321.94,20,37,2124.27,175.16,174.35,75.6,59.4,35.4,293.92,21.95,31.9,24.4
2026-03-04,2026-W10,682.5,621.08,-20891.0,4269.0,-25160.0,275.5,269.11,274.34,451.79,212.14,512.99,16,18,-107.13,-16.03,-19.3,-3.6,17.7,21.9,-6.39,24.22,0.0,54.8
2026-03-05,2026-W10,926.25,842.89,272734.0,1457.0,271277.0,-50.0,268.63,-50.0,302.5,-50.0,303.33,23,21,1398.63,154.16,153.34,90.4,65.6,0.0,318.63,24.18,26.9,36.8
2026-03-06,2026-W10,945.77,860.65,36172.0,4789.0,31383.0,296.34,367.68,308.58,411.88,262.75,530.33,24,23,185.5,20.02,17.37,69.1,62.5,41.7,71.34,33.09,13.2,40.2
2026-03-07,2026-W10,1200.0,1020.12,192392.0,821.0,191571.0,-24.1,160.25,-50.0,198.12,-50.0,222.69,35,28,986.63,86.66,86.29,74.3,74.0,49.0,184.35,14.42,30.3,22.0
2026-03-08,2026-W10,1061.55,1037.89,285075.0,2365.0,282710.0,-6.12,268.41,-50.0,320.78,-50.0,319.97,27,29,1461.92,135.79,134.66,74.0,42.7,31.2,274.53,24.16,45.4,50.5
2026-03-09,2026-W11,1199.16,328.09,51238.0,1054.0,50184.0,-10.5,117.79,-50.0,433.12,-50.11,433.5,38,14,262.76,33.55,32.86,26.6,71.9,56.2,128.29,10.6,19.8,40.7
2026-03-10,2026-W11,936.13,1615.03,489259.0,1954.0,487306.0,-33.28,283.65,-50.0,304.7,-50.0,312.05,28,39,2509.02,191.78,191.01,89.4,70.8,35.4,316.93,25.53,39.2,54.5
2026-03-11,2026-W11,1179.88,1073.69,-173860.0,4419.0,-178279.0,381.91,257.75,40.56,744.04,33.73,684.78,30,28,-891.59,-77.15,-79.11,-17.6,34.4,61.5,-124.16,23.2,19.1,8.3
2026-03-12,2026-W11,1200.0,328.85,39188.0,-157.0,39345.0,-11.77,76.23,-50.69,128.58,-50.72,167.11,36,9,200.97,25.63,25.74,49.1,85.4,81.2,88.0,6.86,70.4,11.7
2026-03-13,2026-W11,844.46,768.46,-75375.0,2747.0,-78122.0,150.95,67.79,-47.18,489.38,-49.61,477.92,28,25,-386.54,-46.73,-48.43,-15.5,33.3,37.5,-83.16,6.1,0.0,5.9
2026-03-14,2026-W11,838.63,1526.3,415488.0,4872.0,410616.0,269.4,420.24,258.26,523.35,236.11,521.49,20,36,2130.71,175.69,173.63,56.9,58.3,6.2,150.84,37.82,28.3,27.1
2026-03-15,2026-W11,1200.0,1092.0,-9231.0,4203.0,-13434.0,303.58,325.15,226.54,439.6,237.4,445.6,33,31,-47.34,-4.03,-5.86,10.1,76.0,74.0,21.57,29.26,13.4,8.7
2026-03-16,2026-W12,1200.0,590.15,55186.0,542.0,54644.0,-27.32,37.96,-50.17,218.12,-51.19,285.26,36,19,283.01,30.83,30.52,24.3,69.8,62.5,65.28,3.42,12.3,11.2
2026-03-17,2026-W12,1200.0,976.95,99634.0,2556.0,97078.0,118.77,247.87,-51.38,452.97,-37.87,442.38,31,28,510.94,45.77,44.59,25.6,61.5,32.3,129.1,22.31,20.0,14.5
2026-03-18,2026-W12,936.13,1468.78,374990.0,1565.0,373426.0,-49.99,223.45,-50.0,302.5,-50.0,278.27,24,39,1923.03,155.93,155.28,77.6,66.7,36.5,273.44,20.11,34.6,67.0
2026-03-19,2026-W12,1160.06,1055.65,363095.0,2350.0,360746.0,-17.79,324.41,-50.0,469.38,-50.0,433.47,33,28,1862.03,163.87,162.81,65.9,79.2,35.4,342.19,29.2,55.4,58.3
2026-03-20,2026-W12,999.34,909.4,135690.0,1595.0,134095.0,-32.74,113.22,-50.0,410.62,-50.0,388.96,27,23,695.85,71.09,70.25,31.7,49.0,45.8,145.97,10.19,5.4,31.4
2026-03-21,2026-W12,1200.0,328.85,26887.0,-175.0,27063.0,-35.54,-47.92,-50.0,40.75,-50.0,131.67,34,14,137.88,17.59,17.7,-13.6,70.8,78.1,-12.39,-4.31,0.0,11.6
2026-03-22,2026-W12,984.88,1659.39,453999.0,4204.0,449795.0,234.94,413.03,138.12,584.94,155.54,477.65,25,40,2328.2,171.69,170.1,39.9,76.0,16.7,178.1,37.17,30.1,29.7
2026-03-23,2026-W13,1106.49,1006.9,105443.0,967.0,104476.0,-50.0,49.77,-50.0,353.12,-50.0,288.72,27,28,540.73,49.89,49.44,24.8,59.4,40.6,99.77,4.48,0.0,48.6
2026-03-24,2026-W13,1200.0,718.85,147696.0,817.0,146879.0,-37.01,143.68,-50.94,274.38,-50.45,265.82,33,23,757.42,76.97,76.55,55.5,62.5,57.3,180.69,12.93,47.5,27.4
2026-03-25,2026-W13,975.06,1260.45,445440.0,2470.0,442970.0,-0.01,353.39,-50.0,453.75,-50.0,445.87,29,33,2284.31,199.26,198.15,70.2,72.9,39.6,353.4,31.81,23.2,56.7
2026-03-26,2026-W13,1131.13,438.75,-82049.0,5072.0,-87121.0,254.7,469.63,94.64,803.75,90.02,867.47,29,13,-420.76,-52.26,-55.5,30.3,55.2,35.4,214.93,42.27,18.5,30.2
2026-03-27,2026-W13,910.06,1418.73,451719.0,5869.0,445850.0,324.12,526.31,221.25,621.25,226.3,632.51,23,38,2316.51,193.97,191.45,50.5,85.4,40.6,202.19,47.37,26.1,37.5
2026-03-28,2026-W13,1200.0,1092.0,-69833.0,4219.0,-74051.0,365.93,338.17,202.92,423.2,218.89,448.73,33,33,-358.12,-30.47,-32.31,-12.6,70.8,70.8,-27.76,30.44,17.3,9.5
2026-03-29,2026-W13,1200.0,1092.0,-71964.0,3748.0,-75712.0,292.7,255.74,215.85,393.09,229.54,357.95,33,29,-369.05,-31.4,-33.03,-20.8,19.8,66.7,-36.95,23.02,8.9,14.9
2026-03-30,2026-W14,1200.0,1092.0,-22940.0,5132.0,-28072.0,350.07,363.68,271.25,659.02,266.19,621.46,34,29,-117.64,-10.01,-12.25,3.5,65.6,65.6,13.62,32.73,12.2,3.3
2026-03-31,2026-W14,1124.34,1023.15,239160.0,1183.0,237978.0,-30.15,200.61,-50.2,292.24,-50.1,282.86,32,28,1226.46,111.37,110.82,67.4,64.6,50.0,230.77,18.06,38.1,23.1
2026-04-01,2026-W14,1179.88,1073.69,208806.0,4059.0,204747.0,181.04,393.42,34.26,508.62,81.19,511.71,28,28,1070.8,92.66,90.85,44.8,61.5,22.9,212.38,35.41,45.6,48.2
2026-04-02,2026-W14,1200.0,328.85,13339.0,533.0,12805.0,-9.11,7.31,-50.7,300.62,-51.14,301.88,30,14,68.4,8.72,8.38,4.7,68.8,67.7,16.42,0.66,9.9,10.6
2026-04-03,2026-W14,1200.0,1855.15,353826.0,1000.0,352825.0,-50.0,158.38,-50.31,458.88,-50.28,209.13,31,47,1814.49,115.81,115.49,40.9,72.9,2.1,208.38,14.25,31.5,4.1
2026-04-04,2026-W14,952.38,777.94,134260.0,160.0,134100.0,-43.55,119.27,-50.54,137.94,-50.98,210.76,24,19,688.51,77.59,77.5,86.4,78.1,70.8,162.82,10.73,49.4,49.5
2026-04-05,2026-W14,1200.0,1180.72,368664.0,928.0,367736.0,-34.55,277.13,-50.03,273.88,-50.18,279.71,30,30,1890.58,154.85,154.46,96.2,80.2,51.0,311.67,24.94,64.9,10.6
2026-04-06,2026-W15,960.41,873.98,197409.0,1877.0,195532.0,-10.35,214.5,-50.03,390.0,-50.01,405.77,30,26,1012.36,107.62,106.59,51.1,60.4,46.9,224.85,19.31,7.9,15.4
2026-04-07,2026-W15,1200.0,1092.0,-91141.0,2348.0,-93489.0,76.26,0.35,-21.56,640.5,-41.24,522.0,30,27,-467.39,-39.76,-40.79,-11.5,47.9,49.0,-75.92,0.03,0.0,12.2
2026-04-08,2026-W15,1200.0,1092.0,160839.0,511.0,160327.0,-28.26,116.23,-51.91,186.96,-52.13,192.02,32,35,824.81,70.17,69.95,60.5,66.7,60.4,144.49,10.46,30.2,13.5
2026-04-09,2026-W15,1200.0,1092.0,101483.0,1976.0,99507.0,158.97,267.62,-46.88,303.9,-39.89,298.39,32,30,520.43,44.28,43.42,31.0,66.7,39.6,108.66,24.09,38.6,1.7
2026-04-10,2026-W15,1105.06,1005.6,595749.0,2411.0,593339.0,-7.94,583.7,-50.0,767.12,-50.0,563.11,29,27,3055.12,282.26,281.12,72.4,91.7,44.8,591.65,52.53,66.2,48.5
2026-04-11,2026-W15,1200.0,328.85,-26600.0,1638.0,-28237.0,10.57,-42.32,-50.19,576.25,-50.34,577.0,33,11,-136.41,-17.4,-18.47,-8.4,54.2,57.3,-52.89,-3.81,0.0,23.0
2026-04-12,2026-W15,838.63,1526.3,124745.0,1428.0,123317.0,70.11,120.25,16.33,266.62,-33.92,258.48,22,36,639.72,52.75,52.14,20.0,59.4,46.9,50.14,10.82,19.2,0.0
2026-04-13,2026-W16,945.77,860.65,108443.0,2333.0,106110.0,125.03,263.39,-4.61,290.62,20.44,288.26,29,23,556.12,60.03,58.74,46.9,66.7,27.1,138.37,23.71,42.8,30.3
2026-04-14,2026-W16,838.63,763.15,206692.0,3529.0,203162.0,-12.22,257.42,-50.0,614.56,-50.0,641.05,20,20,1059.96,129.04,126.84,40.6,47.9,24.0,269.63,23.17,0.0,46.5
2026-04-15,2026-W16,1200.0,328.85,47128.0,341.0,46787.0,-33.46,21.22,-51.74,188.13,-51.14,246.25,38,13,241.68,30.83,30.6,22.8,65.6,61.5,54.68,1.91,14.8,27.6
2026-04-16,2026-W16,1005.71,1207.7,283647.0,2107.0,281540.0,15.29,247.6,-50.0,421.75,-50.89,373.68,26,33,1454.6,128.15,127.2,49.2,52.1,43.8,232.31,22.28,34.9,17.6
2026-04-17,2026-W16,1200.0,1562.65,213121.0,454.0,212667.0,-38.7,106.67,-50.0,178.99,-50.44,159.16,32,39,1092.93,77.14,76.98,63.5,77.1,67.7,145.37,9.6,29.4,13.0
