date,strat_equivalent_cycles,strat_gross_yuan,strat_aux_cost_yuan,strat_net_yuan,strat_revenue_per_cycle,strat_charge_cost,strat_discharge_revenue,actual_equivalent_cycles,actual_gross_yuan,actual_aux_cost_yuan,actual_net_yuan,actual_revenue_per_cycle,actual_charge_cost,actual_discharge_revenue
2026-03-01,1.365,-297545.0,5358.0,-302903.0,-221907.0,632211.0,334666.0,0.9042,12067.0,3390.0,8677.0,9596.0,259979.0,272046.0
2026-03-02,0.4111,36702.0,260.0,36442.0,88645.0,-34740.0,1962.0,0.6778,55687.0,-86.0,55773.0,82285.0,2700.0,58387.0
2026-03-03,1.9079,414232.0,1906.0,412326.0,216115.0,-41931.0,372301.0,1.6522,228286.0,913.0,227373.0,137618.0,12682.0,240968.0
2026-03-04,0.7764,-20891.0,4269.0,-25160.0,-32406.0,188027.0,167136.0,1.321,-111433.0,4912.0,-116345.0,-88073.0,414476.0,303043.0
2026-03-05,1.0536,272734.0,1457.0,271277.0,257476.0,-46312.0,226421.0,0.9247,184692.0,2388.0,182305.0,197150.0,-29047.0,155645.0
2026-03-06,1.0758,36172.0,4789.0,31383.0,29172.0,280274.0,316446.0,1.5738,6264.0,5120.0,1144.0,727.0,440018.0,446282.0
2026-03-07,1.2752,192392.0,821.0,191572.0,150229.0,-28919.0,163473.0,1.1016,74452.0,65.0,74388.0,67527.0,57137.0,131589.0
2026-03-08,1.2974,285075.0,2365.0,282710.0,217905.0,-6498.0,278577.0,2.031,418306.0,1874.0,416432.0,205038.0,47625.0,465931.0
2026-03-09,0.4101,51238.0,1054.0,50184.0,122370.0,-12593.0,38644.0,0.707,22458.0,4288.0,18169.0,25699.0,44764.0,67222.0
2026-03-10,2.0188,489259.0,1954.0,487306.0,241384.0,-31156.0,458103.0,1.7079,312221.0,714.0,311508.0,182392.0,38378.0,350599.0
2026-03-11,1.3421,-173860.0,4419.0,-178279.0,-132836.0,450601.0,276741.0,0.7633,-38094.0,3848.0,-41941.0,-54947.0,313505.0,275411.0
2026-03-12,0.4111,39188.0,-157.0,39345.0,95707.0,-14120.0,25068.0,0.0005,15164.0,-276.0,15440.0,30880000.0,-15182.0,-18.0
2026-03-13,0.9606,-75375.0,2747.0,-78122.0,-81326.0,127469.0,52094.0,0.9442,-81067.0,5363.0,-86429.0,-91537.0,52334.0,-28733.0
2026-03-14,1.9079,415488.0,4872.0,410616.0,215219.0,225928.0,641416.0,1.4178,261325.0,3269.0,258056.0,182012.0,235072.0,496397.0
2026-03-15,1.365,-9231.0,4203.0,-13434.0,-9842.0,364296.0,355065.0,1.4126,92686.0,3664.0,89023.0,63021.0,282909.0,375595.0
2026-03-16,0.7377,55186.0,542.0,54644.0,74073.0,-32781.0,22405.0,0.3583,-45363.0,359.0,-45722.0,-127608.0,57109.0,11746.0
2026-03-17,1.2212,99634.0,2556.0,97078.0,79494.0,142527.0,242160.0,1.5271,213814.0,2787.0,211027.0,138188.0,124702.0,338516.0
2026-03-18,1.836,374990.0,1565.0,373426.0,203391.0,-46796.0,328195.0,1.4615,235452.0,-68.0,235521.0,161150.0,45481.0,280933.0
2026-03-19,1.3196,363095.0,2350.0,360746.0,273375.0,-20636.0,342459.0,1.6745,396910.0,284.0,396626.0,236862.0,17575.0,414485.0
2026-03-20,1.1368,135690.0,1595.0,134095.0,117958.0,-32723.0,102967.0,1.1038,116453.0,2153.0,114300.0,103551.0,12785.0,129238.0
2026-03-21,0.4111,26887.0,-175.0,27063.0,65831.0,-42647.0,-15760.0,0.7541,52532.0,-410.0,52942.0,70206.0,-44807.0,7725.0
2026-03-22,2.0742,453999.0,4204.0,449795.0,216852.0,231383.0,685382.0,1.7549,298481.0,1891.0,296591.0,169007.0,182732.0,481213.0
2026-03-23,1.2586,105443.0,967.0,104476.0,83010.0,-55324.0,50118.0,0.9407,98841.0,1223.0,97618.0,103772.0,-12062.0,86779.0
2026-03-24,0.8986,147696.0,817.0,146879.0,163453.0,-44409.0,103287.0,1.3028,175862.0,-256.0,176118.0,135184.0,3306.0,179168.0
2026-03-25,1.5756,445440.0,2470.0,442970.0,281144.0,-5.0,445435.0,1.8678,453139.0,-113.0,453252.0,242666.0,35740.0,488879.0
2026-03-26,0.5484,-82049.0,5072.0,-87121.0,-158864.0,288099.0,206050.0,0.6773,-139354.0,4098.0,-143451.0,-211798.0,394276.0,254922.0
2026-03-27,1.7734,451719.0,5869.0,445850.0,251410.0,294966.0,746684.0,1.7677,481350.0,700.0,480650.0,271907.0,284593.0,765943.0
2026-03-28,1.365,-69833.0,4219.0,-74051.0,-54250.0,439113.0,369281.0,1.0706,-251088.0,4160.0,-255248.0,-238416.0,466288.0,215200.0
2026-03-29,1.365,-71964.0,3748.0,-75712.0,-55467.0,351237.0,279273.0,0.7941,-149283.0,2227.0,-151509.0,-190793.0,321674.0,172391.0
2026-03-30,1.365,-22940.0,5132.0,-28072.0,-20566.0,420083.0,397143.0,1.7521,146854.0,3478.0,143376.0,81831.0,384285.0,531139.0
2026-03-31,1.2789,239160.0,1183.0,237978.0,186080.0,-33902.0,205258.0,0.5858,16315.0,932.0,15382.0,26258.0,52029.0,68344.0
2026-04-01,1.3421,208806.0,4059.0,204747.0,152557.0,213603.0,422409.0,1.2499,236445.0,4704.0,231742.0,185408.0,185004.0,421449.0
2026-04-02,0.4111,13339.0,533.0,12805.0,31148.0,-10934.0,2405.0,0.9396,103237.0,23.0,103215.0,109850.0,20200.0,123437.0
2026-04-03,2.3189,353826.0,1000.0,352825.0,152152.0,-60000.0,293826.0,0.8549,290338.0,-2.0,290340.0,339619.0,0.0,290338.0
2026-04-04,0.9724,134260.0,160.0,134100.0,137906.0,-41478.0,92782.0,0.3407,-18667.0,7.0,-18673.0,-54808.0,5201.0,-13466.0
2026-04-05,1.4759,368664.0,928.0,367736.0,249161.0,-41454.0,327210.0,1.5887,161184.0,617.0,160568.0,101069.0,24776.0,185960.0
2026-04-06,1.0925,197410.0,1877.0,195532.0,178977.0,-9941.0,187468.0,1.6959,364158.0,-134.0,364292.0,214807.0,40466.0,404624.0
2026-04-07,1.365,-91141.0,2348.0,-93489.0,-68490.0,91518.0,377.0,0.6239,21592.0,2190.0,19402.0,31098.0,153113.0,174705.0
2026-04-08,1.365,160839.0,511.0,160327.0,117456.0,-33911.0,126928.0,0.7231,71135.0,-125.0,71261.0,98549.0,53224.0,124359.0
2026-04-09,1.365,101483.0,1976.0,99507.0,72899.0,190761.0,292244.0,1.1054,156.0,588.0,-431.0,-390.0,186635.0,186791.0
2026-04-10,1.257,595749.0,2411.0,593339.0,472028.0,-8778.0,586971.0,1.7794,224100.0,1130.0,222969.0,125306.0,221442.0,445542.0
2026-04-11,0.4111,-26600.0,1638.0,-28237.0,-68686.0,12683.0,-13916.0,0.5944,114317.0,1470.0,112848.0,189852.0,87859.0,202176.0
2026-04-12,1.9079,124745.0,1428.0,123317.0,64635.0,58794.0,183538.0,1.4044,104060.0,2160.0,101901.0,72558.0,62701.0,166761.0
2026-04-13,1.0758,108443.0,2333.0,106110.0,98634.0,118247.0,226690.0,0.9439,63874.0,2147.0,61728.0,65397.0,83411.0,147285.0
2026-04-14,0.9539,206692.0,3529.0,203162.0,212980.0,-10244.0,196448.0,1.657,267226.0,1584.0,265642.0,160315.0,191392.0,458618.0
2026-04-15,0.4111,47128.0,341.0,46787.0,113809.0,-40149.0,6979.0,0.6928,31703.0,-482.0,32185.0,46456.0,26620.0,58323.0
2026-04-16,1.5096,283647.0,2107.0,281540.0,186500.0,15374.0,299021.0,0.9737,262425.0,1551.0,260873.0,267919.0,-13481.0,248944.0
2026-04-17,1.9533,213121.0,454.0,212667.0,108876.0,-46439.0,166682.0,1.7294,65351.0,81.0,65270.0,37741.0,7438.0,72789.0
