date,charge_mwh,discharge_mwh,cycles,arb_net,cap_comp,net_total,pf_net_total
2026-04-03,1677.26,1623.8,4.19,-21479.0,568330.0,546851.0,732418.0
2026-04-04,1677.26,1721.3,4.19,20748.0,602455.0,623203.0,618524.0
2026-04-05,1677.26,1615.38,4.19,96492.0,565383.0,661875.0,748514.0
2026-04-06,1823.51,1526.3,4.56,-180691.0,534205.0,353514.0,699660.0
2026-04-07,1872.26,1526.3,4.68,82769.0,534205.0,616974.0,725078.0
2026-04-08,1755.32,1526.3,4.39,-100543.0,534205.0,433662.0,639907.0
2026-04-09,1677.26,1672.55,4.19,147311.0,585392.0,732704.0,680980.0
2026-04-10,1677.26,1721.3,4.19,375119.0,602455.0,977574.0,961294.0
2026-04-11,1693.51,1566.63,4.23,-33873.0,548320.0,514448.0,544108.0
2026-04-12,1856.01,1526.3,4.64,-200042.0,534205.0,334163.0,706702.0
2026-04-13,1872.26,1526.3,4.68,-109071.0,534205.0,425134.0,608220.0
2026-04-14,1706.57,1542.55,4.27,15152.0,539892.0,555044.0,703145.0
2026-04-15,1677.26,1705.05,4.19,71504.0,596768.0,668272.0,598140.0
2026-04-16,1677.26,1712.88,4.19,-23556.0,599508.0,575952.0,594746.0
2026-04-17,1726.01,1526.3,4.32,-204809.0,534205.0,329396.0,719870.0
