date,alpha,actual_mean,p10_mean,p50_mean,p90_mean,interval_width,charge_mwh,discharge_mwh,net,pf_net,ratio
2026-01-27,0.45,471.7,517.77,711.1,961.6,443.83,780.0,709.8,236175.0,475018.0,0.49719168536771235
2026-01-28,0.45,750.33,278.62,430.59,641.72,363.1,1145.59,279.34,-468800.0,598879.0,-0.7827958569260235
2026-01-29,0.45,751.84,373.83,550.54,809.68,435.85,125.66,877.5,779989.0,666540.0,1.1702058391094308
2026-01-30,0.45,416.66,286.08,471.5,689.91,403.83,214.29,195.0,31691.0,57067.0,0.5553297001769849
2026-01-31,0.45,181.89,87.45,202.38,340.76,253.31,838.63,487.5,186461.0,496746.0,0.3753648746039223
2026-02-01,0.45,169.92,-2.53,119.75,243.43,245.96,838.63,1038.8,414601.0,402814.0,1.0292616443321234
2026-02-02,0.45,186.67,113.21,265.97,486.98,373.77,838.63,763.15,139850.0,228478.0,0.6120939433993645
2026-02-03,0.45,67.73,-56.73,37.09,195.57,252.3,828.75,341.25,38053.0,300875.0,0.12647444952222683
2026-02-04,0.45,25.46,-30.27,59.68,211.98,242.25,813.45,390.0,124516.0,163337.0,0.7623257437077943
2026-02-05,0.45,348.31,237.1,320.56,445.39,208.29,838.63,1526.3,730744.0,647996.0,1.1276983191254266
2026-02-06,0.45,304.23,192.36,327.92,490.92,298.56,97.5,88.73,-16530.0,124580.0,-0.1326858243698828
2026-02-07,0.45,83.54,-18.4,72.09,200.03,218.43,838.63,763.15,272146.0,376042.0,0.7237117130533292
2026-02-08,0.45,71.13,9.11,103.92,227.97,218.86,642.86,585.0,80455.0,133576.0,0.6023162843624603
2026-02-09,0.45,-8.61,-80.48,-10.87,89.13,169.62,838.63,0.0,-1043.0,185945.0,-0.005609185511844901
2026-02-10,0.45,178.38,117.96,159.73,271.21,153.25,838.63,1526.3,467003.0,554268.0,0.8425581126819517
2026-02-11,0.45,23.69,-21.81,64.54,224.73,246.53,838.63,763.15,96306.0,233546.0,0.41236415952317745
2026-02-12,0.45,107.33,25.53,123.11,294.24,268.71,838.63,763.15,66206.0,275406.0,0.24039418168086388
2026-02-13,0.45,10.83,-50.59,34.06,181.02,231.61,838.63,763.15,73234.0,193813.0,0.3778590703409988
2026-02-14,0.45,-42.23,-16.48,20.89,103.04,119.52,1179.88,310.54,51718.0,70252.0,0.7361783294425781
2026-02-15,0.45,158.85,209.87,233.38,270.4,60.53,838.63,1526.3,463186.0,539198.0,0.8590276670165691
2026-02-16,0.45,195.21,183.45,273.13,418.91,235.45,838.63,763.15,234774.0,282953.0,0.8297279053411697
