date,alpha,actual_mean,p10_mean,p50_mean,p90_mean,interval_width,charge_mwh,discharge_mwh,net,pf_net,ratio
2026-01-27,0.5,471.7,517.77,711.1,961.6,443.83,642.86,585.0,205712.0,475018.0,0.43306148398587
2026-01-28,0.5,750.33,278.62,430.59,641.72,363.1,945.77,243.75,-321572.0,598879.0,-0.5369565471489233
2026-01-29,0.5,751.84,373.83,550.54,809.68,435.85,97.5,705.63,630818.0,666540.0,0.9464068172952861
2026-01-30,0.5,416.66,286.08,471.5,689.91,403.83,214.29,195.0,31691.0,57067.0,0.5553297001769849
2026-01-31,0.5,181.89,87.45,202.38,340.76,253.31,828.75,487.5,185968.0,496746.0,0.3743724156812536
2026-02-01,0.5,169.92,-2.53,119.75,243.43,245.96,838.63,1029.81,412293.0,402814.0,1.0235319527126663
2026-02-02,0.5,186.67,113.21,265.97,486.98,373.77,838.63,763.15,139850.0,228478.0,0.6120939433993645
2026-02-03,0.5,67.73,-56.73,37.09,195.57,252.3,682.5,341.25,30740.0,300875.0,0.10216867469879518
2026-02-04,0.5,25.46,-30.27,59.68,211.98,242.25,838.63,279.83,112524.0,163337.0,0.6889069837207736
2026-02-05,0.5,348.31,237.1,320.56,445.39,208.29,838.63,1526.3,729847.0,647996.0,1.1263140513213044
2026-02-06,0.5,304.23,192.36,327.92,490.92,298.56,0.0,0.0,-3964.0,124580.0,-0.031818911542783754
2026-02-07,0.5,83.54,-18.4,72.09,200.03,218.43,838.63,763.15,272146.0,376042.0,0.7237117130533292
2026-02-08,0.5,71.13,9.11,103.92,227.97,218.86,589.29,536.25,76217.0,133576.0,0.5705890279690963
2026-02-09,0.5,-8.61,-80.48,-10.87,89.13,169.62,838.63,0.0,-5979.0,185945.0,-0.03215466939148673
2026-02-10,0.5,178.38,117.96,159.73,271.21,153.25,838.63,1526.3,467003.0,554268.0,0.8425581126819517
2026-02-11,0.5,23.69,-21.81,64.54,224.73,246.53,838.63,763.15,96306.0,233546.0,0.41236415952317745
2026-02-12,0.5,107.33,25.53,123.11,294.24,268.71,838.63,763.15,66206.0,275406.0,0.24039418168086388
2026-02-13,0.5,10.83,-50.59,34.06,181.02,231.61,838.63,763.15,73234.0,193813.0,0.3778590703409988
2026-02-14,0.5,-42.23,-16.48,20.89,103.04,119.52,1160.06,292.5,51629.0,70252.0,0.7349114615953994
2026-02-15,0.5,158.85,209.87,233.38,270.4,60.53,838.63,1526.3,463102.0,539198.0,0.858871880088576
2026-02-16,0.5,195.21,183.45,273.13,418.91,235.45,838.63,763.15,234774.0,282953.0,0.8297279053411697
2026-02-17,0.5,-8.96,5.09,88.11,191.7,186.6,828.75,487.5,17179.0,50689.0,0.33890982264396613
2026-02-18,0.5,-45.33,42.18,58.19,206.69,164.51,828.75,1020.83,12873.0,27996.0,0.4598156879554222
2026-02-19,0.5,-50.05,-22.5,-16.67,3.16,25.66,1200.0,328.85,44096.0,6306.0,6.992705359974627
2026-02-20,0.5,-50.0,-10.25,-6.43,103.24,113.49,642.86,1348.15,-34613.0,6051.0,-5.720211535283425
2026-02-21,0.5,21.31,-5.82,-3.98,82.33,88.15,838.63,341.25,139154.0,211808.0,0.6569817948330563
2026-02-22,0.5,15.12,75.33,161.91,300.17,224.85,838.63,1185.05,141496.0,216056.0,0.6549042840744992
2026-02-23,0.5,106.77,84.9,130.99,244.18,159.28,838.63,763.15,241814.0,347143.0,0.6965832524348755
2026-02-24,0.5,28.69,46.54,105.24,254.95,208.42,999.34,146.25,42249.0,74406.0,0.5678171115232643
2026-02-25,0.5,66.02,95.74,97.34,171.43,75.69,910.71,1591.9,256807.0,271393.0,0.946255061847579
2026-02-26,0.5,236.91,232.21,320.77,557.97,325.76,146.25,133.09,-1173.0,97133.0,-0.012076225381693142
