date,charge_mwh,discharge_mwh,gross,aux_cost,net,pf_gross,pf_net,soc_end
2026-04-02,1200.0,626.93,25344.0,533.0,24810.0,143156.0,142623.0,800.0
2026-04-03,1090.36,1755.38,346092.0,1000.0,345091.0,389270.0,388270.0,0.0
2026-04-04,1200.0,1092.0,101055.0,160.0,100895.0,184264.0,184104.0,0.0
2026-04-05,1200.0,1092.0,306286.0,928.0,305358.0,367383.0,366455.0,0.0
2026-04-06,1043.27,949.38,302369.0,1877.0,300492.0,327511.0,325634.0,0.0
2026-04-07,1200.0,328.85,-8692.0,2348.0,-11040.0,224778.0,222430.0,800.0
2026-04-08,738.93,1435.58,89739.0,511.0,89227.0,193651.0,193140.0,0.0
2026-04-09,945.77,860.65,112208.0,1976.0,110233.0,362660.0,360684.0,0.0
2026-04-10,1124.34,1023.15,601996.0,2411.0,599585.0,658756.0,656345.0,0.0
2026-04-11,1200.0,328.85,25360.0,1638.0,23722.0,164456.0,162819.0,800.0
2026-04-12,838.63,1526.3,183862.0,1428.0,182435.0,365209.0,363781.0,-0.0
2026-04-13,1200.0,1092.0,-1282.0,2333.0,-3615.0,257982.0,255649.0,0.0
2026-04-14,838.63,763.15,213261.0,3529.0,209731.0,319453.0,315924.0,0.0
2026-04-15,1200.0,475.1,86153.0,341.0,85812.0,189972.0,189631.0,646.6883426294222
2026-04-16,1200.0,1410.83,156582.0,2107.0,154476.0,252926.0,250819.0,312.4689295615539
2026-04-17,1200.0,1390.08,77133.0,454.0,76679.0,357710.0,357257.0,-0.0
2026-04-18,1200.0,1092.0,15659.0,-469.0,16128.0,51856.0,52325.0,0.0
