alpha,n_days,n_loss_days,net_total,net_total_wan,pf_total_wan,realization_rate,avg_interval_width
0.0,81,16,11305055,1130.51,2264.07,0.4993,67.15
0.3,81,15,11208773,1120.88,2264.07,0.4951,67.15
0.5,81,17,11361639,1136.16,2264.07,0.5018,67.15
0.7,81,18,11335882,1133.59,2264.07,0.5007,67.15
1.0,81,18,11468703,1146.87,2264.07,0.5066,67.15
