date,pred_native_15m,charge_window,discharge_window,charge_mwh,discharge_mwh,soc_end,gross,aux_cost,net,pf_gross,pf_aux_cost,pf_net
2026-03-07,False,04:00–16:30,07:45–24:00,1200.0,865.1,237.9,97877.0,821.0,97056.0,227119.0,821.0,226298.0
2026-03-08,False,10:00–16:15,00:00–24:00,838.63,990.05,0.0,334440.0,2365.0,332076.0,289472.0,2365.0,287107.0
2026-03-09,False,09:00–24:00,17:45–20:00,1200.0,328.85,800.0,52578.0,1054.0,51524.0,102471.0,1054.0,101417.0
2026-03-10,False,01:30–17:00,01:00–24:00,992.86,1666.65,0.0,421168.0,1954.0,419215.0,525050.0,1954.0,523096.0
2026-03-11,False,00:00–23:15,03:00–21:00,1200.0,806.81,299.0,-216493.0,4419.0,-220913.0,253617.0,4419.0,249197.0
2026-03-12,False,03:30–22:15,00:45–13:00,1200.0,614.04,800.0,-18966.0,-157.0,-18809.0,125448.0,-157.0,125605.0
2026-03-13,False,04:00–15:15,01:45–24:00,453.21,656.18,544.5,195416.0,2747.0,192669.0,493332.0,2747.0,490585.0
2026-03-14,False,07:00–16:30,00:00–23:00,910.06,1347.55,0.0,264160.0,4872.0,259288.0,-138018.0,4872.0,-142890.0
2026-03-15,False,00:00–16:15,02:30–22:00,1200.0,1092.0,0.0,-6701.0,4203.0,-10904.0,460841.0,4203.0,456638.0
2026-03-16,False,12:30–24:00,17:45–20:15,1200.0,390.0,735.9,91841.0,542.0,91299.0,165050.0,542.0,164508.0
2026-03-17,False,01:15–19:30,00:00–24:00,1066.54,1055.65,646.7,303597.0,2556.0,301042.0,569951.0,2556.0,567396.0
2026-03-18,False,00:00–16:45,01:15–22:15,984.88,1513.14,-0.0,348926.0,1565.0,347361.0,311284.0,1565.0,309720.0
2026-03-19,False,00:00–16:30,03:00–24:00,1200.0,1092.0,0.0,352227.0,2350.0,349878.0,451842.0,2350.0,449492.0
2026-03-20,False,09:00–24:00,10:15–22:00,1200.0,828.15,276.6,104818.0,1595.0,103223.0,208137.0,1595.0,206542.0
2026-03-21,False,07:30–21:30,05:45–16:45,1200.0,592.7,800.0,-4007.0,-175.0,-3832.0,104482.0,-175.0,104658.0
2026-03-22,False,09:00–14:00,03:30–21:30,838.63,1526.3,-0.0,455791.0,4204.0,451587.0,437997.0,4204.0,433793.0
2026-03-23,False,11:00–17:00,18:00–22:30,838.63,763.15,0.0,65777.0,967.0,64811.0,132240.0,967.0,131273.0
2026-03-24,False,01:00–18:00,04:15–24:00,1165.24,1060.36,0.0,189196.0,817.0,188379.0,332146.0,817.0,331329.0
2026-03-25,False,07:30–16:30,10:45–22:30,1106.49,1006.9,-0.0,312597.0,2470.0,310128.0,419262.0,2470.0,416792.0
2026-03-26,False,11:00–20:30,18:00–24:00,945.77,341.25,544.5,58177.0,5072.0,53105.0,466409.0,5072.0,461338.0
2026-03-27,False,02:45–21:45,00:30–24:00,1179.88,1593.09,0.0,314663.0,5869.0,308794.0,345203.0,5869.0,339334.0
2026-03-28,False,03:30–24:00,08:00–19:15,1200.0,754.16,354.1,-148721.0,4219.0,-152940.0,50821.0,4219.0,46602.0
2026-03-29,False,00:00–23:00,03:30–19:15,1200.0,666.69,800.0,-108497.0,3748.0,-112245.0,230716.0,3748.0,226968.0
2026-03-30,False,12:30–17:30,01:45–23:00,838.63,1526.3,-0.0,308246.0,5132.0,303114.0,282363.0,5132.0,277231.0
2026-03-31,False,00:00–16:00,01:45–24:00,1200.0,1092.0,0.0,256952.0,1183.0,255770.0,304199.0,1183.0,303016.0
2026-04-01,False,10:00–24:00,11:15–22:00,1200.0,793.92,312.5,148702.0,4059.0,144643.0,317224.0,4059.0,313165.0
2026-04-02,False,00:00–24:00,02:15–20:00,1200.0,626.92,800.0,25344.0,533.0,24810.0,143156.0,533.0,142623.0
2026-04-03,False,01:30–17:00,01:00–23:00,1090.36,1755.38,0.0,347737.0,1000.0,346737.0,389270.0,1000.0,388270.0
2026-04-04,False,05:30–17:15,10:00–24:00,1200.0,1092.0,0.0,101055.0,160.0,100895.0,184264.0,160.0,184104.0
2026-04-05,False,01:00–15:30,04:00–24:00,1200.0,1092.0,0.0,306448.0,928.0,305521.0,367383.0,928.0,366455.0
2026-04-06,False,06:00–16:30,07:15–24:00,1043.27,949.38,0.0,302369.0,1877.0,300492.0,327511.0,1877.0,325634.0
2026-04-07,False,13:00–24:00,18:30–20:45,1200.0,328.85,800.0,-1646.0,2348.0,-3994.0,224778.0,2348.0,222430.0
2026-04-08,False,01:45–16:00,00:00–22:30,738.93,1435.58,0.0,89751.0,511.0,89240.0,193651.0,511.0,193140.0
2026-04-09,False,00:30–16:45,02:00–24:00,945.77,860.65,0.0,112208.0,1976.0,110233.0,362660.0,1976.0,360684.0
2026-04-10,False,00:30–16:00,02:00–24:00,1124.34,1023.15,0.0,601996.0,2411.0,599585.0,658756.0,2411.0,656345.0
2026-04-11,False,07:30–21:30,09:15–19:45,1200.0,328.85,800.0,26043.0,1638.0,24405.0,164456.0,1638.0,162819.0
2026-04-12,False,07:45–14:15,00:30–22:00,838.63,1526.3,-0.0,183870.0,1428.0,182443.0,365209.0,1428.0,363781.0
2026-04-13,False,02:00–16:00,09:00–24:00,1200.0,1092.0,0.0,570.0,2333.0,-1762.0,257982.0,2333.0,255649.0
2026-04-14,False,10:00–16:15,19:45–24:00,838.63,763.15,0.0,213261.0,3529.0,209731.0,319453.0,3529.0,315924.0
2026-04-15,False,07:45–22:45,10:15–24:00,1200.0,475.1,646.7,86153.0,341.0,85812.0,189972.0,341.0,189631.0
2026-04-16,False,00:00–24:00,03:30–22:00,1200.0,1410.83,312.5,160715.0,2107.0,158608.0,252926.0,2107.0,250819.0
2026-04-17,False,01:15–17:00,00:00–22:00,1200.0,1390.08,0.0,77187.0,454.0,76733.0,345871.0,454.0,345417.0
