date,old_charge_mwh,old_discharge_mwh,old_cycles,old_net,old_pf_net,new_charge_mwh,new_discharge_mwh,new_cycles,new_arb_net,new_cap_comp,new_net_total,new_pf_net_total
2026-03-16,1200.0,328.85,1.5,73246.0,164508.0,1671.81,1503.31,4.18,7243.0,526158.0,533402.0,591740.0
2026-03-17,1200.0,1092.0,1.5,351473.0,567396.0,1710.62,1534.38,4.28,114888.0,537033.0,651921.0,805672.0
2026-03-18,1200.0,1770.05,1.5,404675.0,309720.0,1603.63,1499.63,4.01,39327.0,524870.0,564198.0,567684.0
2026-03-19,1200.0,1177.1,1.5,401916.0,449492.0,1343.6,1222.68,3.36,181531.0,427938.0,609469.0,749876.0
2026-03-20,854.88,777.94,1.07,127588.0,206542.0,1559.46,1419.11,3.9,1922.0,496688.0,498610.0,557478.0
2026-03-21,1200.0,328.85,1.5,27740.0,104658.0,1872.26,1322.18,4.68,-47967.0,462763.0,414796.0,555883.0
2026-03-22,945.77,1623.8,1.18,467386.0,433793.0,1588.63,1827.23,3.97,259489.0,639530.0,899020.0,768538.0
2026-03-23,968.63,881.45,1.21,56402.0,131183.0,1535.36,1397.18,3.84,42219.0,489013.0,531232.0,598897.0
2026-03-24,1183.09,459.71,1.48,87409.0,331329.0,1632.94,1485.98,4.08,75891.0,520093.0,595984.0,619118.0
2026-03-25,952.14,1483.35,1.19,587191.0,416483.0,1466.64,1334.64,3.67,2214.0,467124.0,469338.0,674414.0
2026-03-26,999.34,909.4,1.25,260386.0,461338.0,1501.31,1366.19,3.75,-23269.0,478166.0,454898.0,790554.0
2026-03-27,1200.0,1092.0,1.5,38001.0,339334.0,1618.09,1472.46,4.05,-98640.0,515361.0,416721.0,654226.0
2026-03-28,1143.93,1040.97,1.43,-82391.0,46602.0,1671.66,1521.21,4.18,-69110.0,532424.0,463314.0,478252.0
2026-03-29,1160.06,1055.65,1.45,-27922.0,226968.0,1647.94,1499.63,4.12,51885.0,524870.0,576756.0,721258.0
2026-03-30,1033.63,940.6,1.29,-104750.0,277231.0,1618.63,1472.95,4.05,24067.0,515532.0,539600.0,689474.0
2026-03-31,1200.0,1092.0,1.5,244171.0,303016.0,1520.59,1383.74,3.8,88968.0,484309.0,573277.0,642153.0
2026-04-01,1200.0,1092.0,1.5,121087.0,313165.0,1569.88,1428.59,3.92,25421.0,500006.0,525428.0,627073.0
2026-04-02,1200.0,328.85,1.5,78191.0,142623.0,1716.13,1561.68,4.29,34166.0,546588.0,580754.0,605825.0
2026-04-03,1052.91,1721.3,1.32,344831.0,388270.0,1462.35,1330.74,3.66,146808.0,465759.0,612567.0,727895.0
2026-04-04,1200.0,780.0,1.5,135319.0,184104.0,1520.59,1383.74,3.8,18148.0,484309.0,502457.0,608722.0
2026-04-05,1082.38,1296.96,1.35,377310.0,366455.0,1452.94,1322.18,3.63,207018.0,462763.0,669781.0,758046.0
2026-04-06,936.13,851.88,1.17,291598.0,325376.0,1569.88,1428.59,3.92,99679.0,500006.0,599686.0,699660.0
2026-04-07,1200.0,971.37,1.5,-45466.0,222430.0,1574.16,1432.49,3.94,-70917.0,501372.0,430454.0,705276.0
2026-04-08,1179.88,1194.32,1.47,155599.0,192901.0,1714.29,1560.0,4.29,52325.0,546000.0,598325.0,646032.0
2026-04-09,1200.0,328.85,1.5,-54850.0,360684.0,1618.63,1472.95,4.05,43101.0,515532.0,558634.0,680980.0
2026-04-10,872.74,1557.34,1.09,577253.0,656345.0,1725.24,1569.96,4.31,139772.0,549486.0,689258.0,961294.0
2026-04-11,1200.0,523.85,1.5,37919.0,162455.0,1651.46,1502.83,4.13,-109449.0,525990.0,416542.0,546558.0
2026-04-12,1200.0,1660.15,1.5,170774.0,363781.0,1588.63,1445.65,3.97,-46212.0,505978.0,459766.0,706702.0
2026-04-13,1160.06,1055.65,1.45,112307.0,255649.0,1710.77,1556.8,4.28,40305.0,544880.0,585185.0,621859.0
2026-04-14,838.63,763.15,1.05,169031.0,315924.0,1461.81,1330.25,3.65,-59664.0,465588.0,405924.0,703145.0
2026-04-15,1200.0,523.85,1.5,98226.0,188994.0,1715.74,1561.33,4.29,20738.0,546466.0,567204.0,609490.0
2026-04-16,1189.52,984.96,1.49,284269.0,250606.0,1535.21,1370.23,3.84,73674.0,479580.0,553254.0,583210.0
2026-04-17,1082.38,1650.62,1.35,251296.0,344677.0,1642.35,1521.35,4.11,119161.0,532472.0,651634.0,737306.0
